SA4 Code,Area,Rating,Working Age Employment Rate (%),Unemployment Rate (%),Proportion of the working age on JobSeeker Income Support (%),Proportion of the working age on JobSeeker Income Support (%) for 2 or more years,Job Vacancy Rate (%),Job Matching Efficiency Rate (%),"Underemployment Rate (%)
(GCCSA)","Vacancy Fill Rate (%) (GCCSA)",Annual Median Income Growth Rate (%),Skill Underutilisation Rate (%)
113,Riverina,Average,78.2,3.4,6.6,2.5,3.3,77.0,6.2,69.0,3.7,20.8
114,Southern Highlands and Shoalhaven,Below average,74.3,3.5,6.5,2.2,1.7,73.4,6.2,69.0,6.1,22.5
206,Melbourne - Inner,Above average,79.3,4.6,4.0,1.0,2.4,80.7,6.4,72.7,0.5,28.2
207,Melbourne - Inner East,Strong,76.7,3.8,2.5,0.6,2.4,87.0,6.4,72.7,5.5,29.4
208,Melbourne - Inner South,Strong,79.1,3.7,2.8,0.7,2.4,80.7,6.4,72.7,4.8,26.3
209,Melbourne - North East,Above average,78.1,4.3,5.0,1.4,2.4,82.2,6.4,72.7,7.1,29.7
210,Melbourne - North West,Below average,72.7,5.3,6.2,1.7,2.4,75.8,6.4,72.7,7.2,31.8
211,Melbourne - Outer East,Strong,79.3,3.6,3.9,1.2,2.4,84.1,6.4,72.7,7.6,26.4
212,Melbourne - South East,Average,74.7,5.6,5.4,1.3,2.4,86.9,6.4,72.7,7.1,34.5
213,Melbourne - West,Average,76.0,5.9,6.1,1.6,2.4,88.3,6.4,72.7,6.3,35.1
214,Mornington Peninsula,Above average,78.9,4.3,5.7,1.9,2.4,80.4,6.4,72.7,7.8,23.0
201,Ballarat,Below average,75.5,3.6,7.8,3.0,3.7,70.5,6.0,74.8,5.7,23.5
202,Bendigo,Average,77.5,3.3,6.7,2.6,4.0,65.3,6.0,74.8,5.1,22.4
203,Geelong,Above average,78.8,3.4,5.4,1.9,1.5,79.9,6.0,74.8,6.3,25.7
204,Hume,Above average,79.4,3.0,6.6,2.6,1.8,78.2,6.0,74.8,4.4,21.6
205,Latrobe - Gippsland,Below average,75.4,4.0,8.4,3.5,2.0,72.0,6.0,74.8,5.3,20.7
215,Victoria - North West,Average,76.7,3.3,8.4,3.7,3.1,81.8,6.0,74.8,3.1,20.6
216,Shepparton,Average,75.8,3.8,8.3,3.1,3.8,81.7,6.0,74.8,3.7,21.6
217,Warrnambool and South West,Average,78.3,2.7,6.9,2.9,10.9,51.8,6.0,74.8,2.6,21.8
301,Brisbane - East,Strong,82.1,3.5,4.5,1.6,3.0,82.8,6.0,64.5,5.7,22.3
302,Brisbane - North,Strong,82.7,3.1,3.9,1.3,3.0,76.5,6.0,64.5,5.9,25.9
303,Brisbane - South,Above average,77.6,3.5,3.8,1.1,3.0,79.0,6.0,64.5,4.2,30.5
304,Brisbane - West,Strong,77.2,3.1,2.4,0.6,3.0,83.1,6.0,64.5,4.4,23.2
305,Brisbane Inner City,Strong,81.7,3.1,3.1,0.9,3.0,71.1,6.0,64.5,1.0,26.5
310,Ipswich,Below average,73.7,5.1,7.1,2.3,3.0,79.4,6.0,64.5,5.9,24.9
311,Logan - Beaudesert,Below average,73.2,5.2,7.9,2.5,3.0,77.6,6.0,64.5,6.0,24.9
313,Moreton Bay - North,Below average,71.3,5.2,7.5,2.6,3.0,77.8,6.0,64.5,6.0,22.3
314,Moreton Bay - South,Strong,81.8,3.5,4.0,1.3,3.0,87.2,6.0,64.5,5.7,23.5
306,Cairns,Below average,78.0,4.2,9.3,3.8,2.5,69.4,6.1,65.1,3.3,24.1
307,Darling Downs - Maranoa,Average,78.3,3.2,8.0,3.1,6.0,81.4,6.1,65.1,3.1,21.6
308,Central Queensland,Below average,78.9,4.1,7.4,3.0,2.0,65.5,6.1,65.1,4.2,17.6
309,Gold Coast,Above average,80.3,2.9,4.5,1.3,2.6,81.1,6.1,65.1,5.7,26.9
312,Mackay - Isaac - Whitsunday,Above average,82.1,2.7,5.4,1.9,3.7,71.8,6.1,65.1,3.8,17.9
315,Queensland - Outback,Poor,71.7,6.4,16.7,6.8,9.8,26.7,6.1,65.1,0.9,18.8
316,Sunshine Coast,Above average,78.6,3.1,4.7,1.5,2.5,78.1,6.1,65.1,5.8,24.0
317,Toowoomba,Average,75.5,3.7,6.8,2.3,2.2,77.3,6.1,65.1,4.7,23.0
318,Townsville,Below average,75.6,4.5,8.1,3.1,3.0,77.4,6.1,65.1,4.6,19.4
319,Wide Bay,Poor,70.0,5.2,10.5,4.3,2.4,68.1,6.1,65.1,3.5,20.4
401,Adelaide - Central and Hills,Above average,80.8,2.8,3.6,1.3,2.7,71.3,5.9,72.6,3.4,26.6
402,Adelaide - North,Below average,74.1,5.0,8.5,3.3,2.7,76.6,5.9,72.6,5.1,28.6
403,Adelaide - South,Above average,80.1,3.5,5.5,2.3,2.7,70.3,5.9,72.6,5.0,24.8
404,Adelaide - West,Above average,79.0,3.3,6.0,2.4,2.7,79.7,5.9,72.6,4.9,29.7
405,Barossa - Yorke - Mid North,Poor,75.4,3.9,9.2,4.4,6.9,46.7,7.4,64.4,4.1,19.9
406,South Australia - Outback,Poor,72.2,5.7,14.4,6.3,10.6,36.7,7.4,64.4,5.3,18.1
407,South Australia - South East,Poor,76.8,3.4,8.8,4.0,5.1,36.2,7.4,64.4,3.0,21.8
502,Mandurah,Below average,71.8,4.9,8.2,3.0,2.5,84.2,5.7,66.1,6.8,20.7
503,Perth - Inner,Above average,79.7,2.9,2.8,1.0,2.5,54.9,5.7,66.1,0.0,24.8
504,Perth - North East,Above average,78.7,3.8,5.3,1.8,2.5,88.8,5.7,66.1,5.0,26.0
505,Perth - North West,Strong,80.4,3.9,4.2,1.3,2.5,90.6,5.7,66.1,4.9,25.8
506,Perth - South East,Above average,77.3,4.5,5.1,1.7,2.5,83.2,5.7,66.1,4.8,29.7
507,Perth - South West,Above average,78.8,4.3,4.8,1.6,2.5,84.0,5.7,66.1,5.3,23.7
501,Bunbury,Above average,80.5,3.2,6.2,2.3,1.7,78.5,4.5,55.8,4.6,21.7
508,Western Australia - Outback (North and South),Poor,75.7,4.8,10.6,3.9,4.8,59.3,4.5,55.8,5.3,19.8
509,Western Australia - Wheat Belt,Below average,77.7,3.0,8.5,3.7,4.3,69.7,4.5,55.8,5.5,21.5
601,Hobart,Below average,76.3,4.0,6.5,2.5,3.0,66.6,7.2,74.3,6.6,29.1
602,Launceston and North East,Poor,76.3,3.7,8.4,3.8,2.7,52.9,7.3,74.1,4.8,24.4
603,Tasmania - South East,Poor,71.4,3.9,8.7,3.8,1.1,83.1,7.3,74.1,2.5,25.4
604,Tasmania - West and North West,Poor,73.6,4.2,8.9,3.7,4.9,44.7,7.3,74.1,4.0,20.6
701,Darwin,Above average,81.6,3.2,5.7,1.9,4.8,63.9,4.0,72.2,2.6,27.1
702,Northern Territory - Outback,Poor,71.8,5.9,25.6,6.9,6.5,33.8,3.1,59.7,-0.5,24.9
801,Australian Capital Territory,Strong,80.8,3.9,3.1,0.9,2.6,83.5,5.0,76.0,4.9,26.1
,Northern Australia,Below average,77.3,4.3,10.1,3.6,4.8,63.0,5.3,59.0,3.0,21.7
